trackName,endTime,artistName,msPlayed,uri,duracion_ms,popularidad,danceability
De Vacaciones,2022-09-12 18:56,FMK,18820,0hRKaSIym7bBRZ5oXLUsfx,141702,57,0.686
Delincuente,2022-11-29 20:12,Tokischa,182520,5ltjit47pp6nXwhYpkilYd,202426,2,0.82
Demasiadas Mujeres,2022-11-07 20:17,C. Tangana,153960,3GaGWoU1KfVqgl7vnRHP55,153960,78,0.658
Easy On Me,2022-10-16 02:39,Adele,224694,46IZ0fSY2mpAiktS3KOqds,224694,85,0.604
Eclipse,2022-10-01 21:10,Zeballos,15616,2YqdfLhtJKoXQQLwy4nvqd,241058,3,0.687
El Baile de las Egresadas,2022-08-27 03:48,Alan Gomez,66363,1IlbkW24QMlXRs5GF15FMM,279640,45,0.796
El Viejo,2022-09-20 19:45,La Vela Puerca,1642,7gKqjNMM4ikt7KFTRsgZgL,187066,64,0.699
Ella,2023-03-29 10:52,La Beriso,3575,5aVhIDZmDeMt2C2ZMX5KoH,227866,61,0.632
Ella No Es Tuya - Remix,2022-07-12 21:09,Rochy RD,2404851,5YYW3yRktprLRr47WK219Y,218106,71,0.585
En la Oscuridad,2022-11-07 19:56,LIT killah,173142,4OrAAeefsDOdUSfE87C6WR,173142,64,0.812
Entre Nosotros,2022-11-07 20:35,Tiago PZK,384704,6w8yBI2vthyN9UnwO4UBWb,192352,74,0.729
Entre Tú y Yo,2022-11-28 19:35,Chema Rivas,448928,1nxlRYbM2Ral4im0LExtZY,224000,0,0.854
FRESCO,2022-06-07 18:20,WOS,4538803,0blWPYAfbvpRLVHUcmqmmj,170302,67,0.782
Falling,2022-10-16 02:45,Harry Styles,170931,4TnjEaWOeW0eKTKIEvJyCa,159381,6,0.785
Feel Good Inc.,2022-07-01 17:00,Gorillaz,222640,0d28khcov6AiegSCpG5TuT,222640,86,0.818
Fiel,2022-10-14 22:08,Los Legendarios,184817,7Bk0uXKk1uPT0XuQbpFzvs,261665,74,0.849
Flexin',2022-06-05 01:40,LIT killah,818352,0hwEhPxCBLKiqeBMZavGAv,179383,64,0.84
Forever Alone,2022-07-01 18:03,Paulo Londra,215962,5NPzbTzFxIQPaheZuPhn4f,215962,60,0.864
Fresko,2022-09-21 16:01,Bhavi,173997,2Zbw0nOYZoKU27sOYbrsv7,201290,53,0.856
From Now On,2022-08-10 20:38,Hugh Jackman,11740,3IkWmgGsXbsafrunwPojXO,349560,72,0.516
Fucking Diablo,2022-09-14 13:37,Nicki Nicole,289044,5HugdP5zn1KUybBdc1xsdf,144522,53,0.759
Fuego,2022-10-17 20:12,Intoxicados,302838,1sOQKZHaEo2SKzVfUqMriM,166833,34,0.5
Funeral,2022-06-17 15:15,Cami,1074066,1ueLYdeuGMAwUiaezLDObD,221400,52,0.725
GATO NEGRO,2022-06-08 13:17,WOS,12480682,5Mn4FEB5vtRI4tbr3MwNnO,195864,56,0.484
Galway Girl,2022-10-17 18:07,Ed Sheeran,341652,0afhq8XCExXpqazXczTSve,170826,81,0.624
Goteo,2022-09-19 18:00,Duki,632403,1EoEU4HY57qaITp06TkC6B,164457,70,0.473
Gusty DJ | Ecko - Session en el Barrio #7,2023-02-16 13:40,Gusty dj,97851,2ALRaYszX1wDifP6HrcdqS,164536,68,0.883
Hacer un puente,2022-12-05 21:28,La Franela,132657,18Q3WTfyWX1tdS1cp42NhA,282958,62,0.522
Happier,2022-11-04 16:58,Ed Sheeran,207520,2RttW7RAu5nOAfq6YFvApB,207520,81,0.522
Hasta Que Dios Diga,2023-03-31 15:37,Anuel AA,246000,06s3QtMJVXw1AJX3UfvZG1,246000,85,0.691
Heaven,2023-02-25 16:19,Niall Horan,5047296,0Hgqglypzt6Qs5Duqskcqs,213026,51,0.42
Hey Brother,2022-10-17 18:11,Avicii,510186,5Hu8zdEUszmTkCeSsm3Ly9,220952,41,0.558
History,2022-08-07 08:49,One Direction,562278,0HMjXBAZmSYOTTi33WpMso,187426,77,0.655
Home,2022-11-17 22:28,Aso,182250,1J6bub4kiTe4h0RCo9IszE,210173,3,0.606
Hood - Remix,2022-10-12 15:21,Trueno,7041294,3UytZp1xDkNkROyIwE7DbY,176372,68,0.674
Házmelo,2022-12-29 02:18,Tiago PZK,150992,4uiFw0YvHosZT3qRf1QAvs,174952,57,0.36
I Lived,2022-08-07 09:20,OneRepublic,469092,3IQF4xCQUPicbA4hWfTxPo,234546,74,0.593
Imagination,2022-10-25 18:59,Montell Fish,511989,0CgTuGTVzwPDd8o2rWH6DE,217773,0,0.481
Intro,2022-10-12 01:58,Barnes Blvd.,668879,5BfMJ6iytQnu1r7iiCYSXe,213253,52,0.213
"Introducing Me - From ""Camp Rock 2: The Final Jam""",2022-08-09 13:54,Nick Jonas,747572,74tQaH4CxM5Rs9BzerEbHr,186893,66,0.513
"John C: Bzrp Music Sessions, Vol. 18",2023-04-23 22:12,Bizarrap,224976,08ilexedmUuccTWTeK7Dvb,133691,60,0.698
Juice,2023-04-01 13:49,Lizzo,195144,0k664IuFwVP557Gnx7RhIl,195144,76,0.767
"KHEA: Bzrp Music Sessions, Vol. 34",2022-11-27 15:45,Bizarrap,794812,7bidsoy3nzCDNYzAzrV7NN,198703,65,0.633
KU',2022-06-17 00:02,LIT killah,557635,261Jxss9utRCMg11TWEU8M,230544,59,0.7
"Kiddo Toto: Bzrp Music Sessions, Vol. 11",2023-04-25 19:51,Bizarrap,143376,7jJV6hcqjD76gbu7TG67k8,143376,0,0.819
"L-Gante: Bzrp Music Sessions, Vol.38",2022-12-03 01:30,Bizarrap,479253,1Crj1zkRMpsEjb9NOR6Zof,192347,74,0.553
L-Gante: RKT SESSIONS #1,2022-11-07 20:07,Papu DJ,9610,4A9u8OrzFYbxdjiydkNdUi,181928,68,0.834
LA INOCENTE,2023-03-01 22:17,Mora,3688613,5jt25aFjW2kNoBqaEVaz5W,202173,88,0.757
LUZ DELITO,2022-06-08 13:01,WOS,1819567,13VEtVCYfLTVsq5STs3SlW,155867,61,0.583
La Cobra,2022-10-17 21:06,j mena,38801,7tAFzqPUa2G7EziujIPP7K,188227,0,0.843
La Isla del Sol,2023-02-14 09:46,un muerto mas,133546,1sZFIMGmKUYycerZSZb99O,258757,46,0.752
La Melodía de Dios,2022-12-05 01:59,Tan Bionica,712274,31xVuaxFElzKPIp6Z9HT5N,285306,0,0.67
La niñera,2023-05-20 05:06,AX 13,51641,0Nkf18V7ShqvNWwALRdXaA,152773,0,0.707
"Lalo Ebratt: Bzrp Music Sessions, Vol. 22",2022-08-27 03:41,Bizarrap,458145,5gjEktQCyYIccQwQZTpLXU,152304,51,0.927
Let Me Down Slowly,2022-10-16 02:45,Alec Benjamin,1813,2uaiyLKnYvazyfR0Ky3Kbk,169180,0,0.649
Ley de Atracción,2022-11-28 18:12,Duki,284806,52PVGjg5sUhfs9PHiSl02c,180247,58,0.776
"Like Boss - Remix (feat. Duki, Bizarrap, Akapellah, Polima Westcoast, Moonkey, Zanto, Santoz)",2022-11-27 20:14,Frijo,724562,2H2pkZBzWDX2TzGW7sp014,362281,55,0.853
Limbo,2023-05-21 07:11,Daddy Yankee,36664,3pDhN3qB33AOPhQEkUCaWt,224693,78,0.806
Lisa,2023-03-22 00:52,Young Miko,13610,44FzVABpR2cciquTqADA0D,159306,84,0.82
Llamado de Emergencia,2023-05-21 07:01,Daddy Yankee,217594,3bkBVEmRJuJZNh5iVgJkWm,239920,0,0.699
Locked out of Heaven,2023-04-01 12:19,Bruno Mars,233478,3w3y8KPTfNeOKPiqUTakBh,233478,89,0.726
Loco,2022-08-07 05:12,Tiago PZK,719906,2J9B63FawlTaPdg4eH5X03,204000,71,0.82
Locura y Maldad,2022-06-16 23:41,Cris Mj,134691,2dG8CDU9UBem2ReYcLafDt,200000,69,0.791
Lola,2022-09-13 15:14,Duko,1330,0icidvfDmXmaS5vMQlIPF8,167042,62,0.843
MALAMENTE - Cap.1: Augurio,2022-08-24 03:05,ROSALÍA,300054,1B0BQaSRHxhI0AUlItY3LK,150027,71,0.893
MELÓN VINO,2022-06-07 18:13,WOS,6024227,5uHAzGa4d9j35DEbhUwGhi,176394,72,0.62
MIRÁ MAMÁ,2022-06-07 18:07,WOS,7164938,3d1wvsZjykpYZxbIPz91Ou,169536,60,0.529
MONTERO (Call Me By Your Name),2023-04-01 14:14,Lil Nas X,137875,67BtfxlNbhBmCDR2L2l8qd,137875,77,0.61
MUGRE,2022-06-06 16:46,WOS,3480027,0hoo74Q82lOWekiPWYOOuz,259199,54,0.341
Ma Vie (feat. Yay),2022-11-27 19:25,Kidd Keo,466600,6UU24wuWgGwuSBAxDH866Z,233300,70,0.936
Madre Tierra (Oye),2023-02-21 17:59,Chayanne,321679,2wlptOJ1g5fvLdu6ruKCKU,205920,69,0.695
Mala Mía,2022-11-07 19:53,LIT killah,381856,62o8KoI44JfN7aYxgTnPvh,183752,68,0.749
Mala Vida,2022-07-01 17:47,Nicki Nicole,673193,3SzBLvShr2FKp1qSaqK6cm,160423,55,0.521
Malbec,2022-08-01 20:05,Duki,979178,6KEb17S00Inf0v1qYDgUAj,175890,72,0.705
Malibu de Coco,2022-11-27 20:55,Oscu,138041,0I1eXIH6Y4pjr3GmDrfYhl,138041,57,0.798
Me Gusta,2022-09-14 13:26,Nicki Nicole,941000,3NXh44Beby7IYMYyOgdLPm,158267,49,0.692
Me Has Dejado,2022-08-18 22:23,Nicki Nicole,484570,6ojA83SXbJ5BKpJucn3j6R,242285,55,0.542
Me Rehúso,2023-02-16 12:51,Danny Ocean,1504366,6De0lHrwBfPfrhorm9q1Xl,205714,78,0.744
Me haces bien,2022-07-01 18:43,Jorge Drexler,329135,4UKe38tm5NkRpuFCxwewEe,184546,63,0.404
Miénteme,2022-10-17 22:34,TINI,397146,0cOa970mzTWAxKtltpkpLc,165275,78,0.85
Mood,2022-08-07 04:31,Facundo Majdalani,170808,2ISzmtY9Exy1IwmJj3Hc7P,176000,62,0.798
Movie,2022-07-30 13:56,Tom Misch,703519,6pxElwU80zhjbCC77Vn8EI,357357,4,0.785
Ms. Jackson,2022-07-01 16:53,Outkast,271453,0I3q5fE6wg7LIfHGngUTnV,270506,84,0.843
Muerte En Hawaii,2023-01-18 12:46,Calle 13,242720,3kNVYo6BJE9AENxzokM9YC,189866,74,0.675
Muñecas,2023-01-13 22:29,TINI,3877898,1PAvhqefivTNdxZ4u8RT1d,156318,77,0.681
NO VA A BAJAR,2022-09-13 18:19,WOS,202268,3wNiMUFSp0H7zF7QH4vCPq,202268,53,0.704
Nadir,2022-10-01 21:10,Zeballos,11114,7hE9Q5k72F6b5qu2jrinpl,257431,3,0.559
"Nathy Peluso: Bzrp Music Sessions, Vol. 36",2022-06-05 01:37,Bizarrap,733960,78SeXVRJ7KCqVmOwTiFjnI,171215,73,0.65
New Man,2022-11-04 17:01,Ed Sheeran,189280,5HDPtsnyb3maFmPL8LLUTG,189280,66,0.78
"Nicki Nicole: Bzrp Music Sessions, Vol. 13",2022-07-12 21:18,Bizarrap,1303280,2S93hylQBYLndMnaJuso8S,143291,72,0.81
"Nicky Jam: Bzrp Music Sessions, Vol. 41",2022-12-03 01:19,Bizarrap,576762,03LfOYi0icz4souspZVVhq,158086,70,0.627
No Dijeron Nada,2022-07-01 17:49,Oscu,61062,66YgptYp9124vxw9yFsIGn,186782,60,0.702
"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",2022-06-04 19:59,BANDIDO,577359,7COGuXyTr12KvdaYXMqheC,280274,69,0.769
No Me Olvides,2022-11-07 21:42,La Beriso,679998,2Pq3bGuvCa1beNMrBxgcKT,212373,59,0.462
No Puedo,2022-06-05 01:43,Paulo Londra,175028,6MbSMSXrSlvsyHf4kcaLQi,175028,71,0.792
No Te Enamores,2023-01-21 21:02,Benjamín Amadeo,370036,2GvCKpSkYLJM4HFF3CmHVi,185018,38,0.593
No Toque Mi Naik,2022-07-12 21:12,Nicki Nicole,2536210,0TBbNYzmtCfN5cpZSCVNIz,143925,55,0.763
No Voy en Tren,2022-10-17 20:04,Charly García,362720,0rliTXrA8nLBuJcxDuueWU,181600,64,0.794
Nota,2022-09-06 16:02,Eladio Carrion,478446,2rm9Jixn9sLzTM6PF8u8AH,159482,72,0.7
Numero 1,2022-06-02 23:01,Oscu,1202481,6HXvazdtAr9hy0kThzxrE3,164000,67,0.842
OKUPA,2022-06-07 17:47,WOS,2733695,25NPeIjHjQGvyp4D52Tji2,143000,71,0.763
Olivia,2022-06-09 03:09,Ivan Noble,1737818,5dONhl6aXFuN86UBdayF6W,177973,72,0.64
On My Way,2023-05-01 02:19,Noji,136941,7H9YC7hkicuj0ASDn3Aati,232036,41,0.686
Our Song,2022-09-18 12:37,Anne-Marie,1477474,5zqObw7wjBgL9TDiAymxPn,163733,67,0.595
PANAMÁ,2022-07-01 17:52,Trueno,342855,7fz7HrFRF4y8YEe0duWTDW,171149,62,0.723
PANTANO,2022-06-11 19:38,WOS,1079629,0VMxiFeuVhG3Hu7NHnge9e,150661,58,0.607
PELOTUDA,2022-08-27 03:39,Dillom,10535769,65zh1W9YBpgGlS4G98mI0v,185905,58,0.57
PUAJ (sesión),2022-09-24 12:39,WOS,1086810,6fTxvdEyWl3zZg2XTWO4s8,156665,57,0.712
PURPURA,2022-06-11 19:33,WOS,984855,0RHazYjaRGLIYPvn6mtRWY,194181,0,0.817
Para que el mundo lo vea - Acústico,2022-10-17 20:18,Arnau Griso,225825,6IukuUL2wwXBMQgbNsBnKK,220206,43,0.679
Paradise,2022-09-27 21:48,Coldplay,1901970,0Rx0DJI556Ix5gBny6EWmn,169038,75,0.844
Parte de Mí,2022-07-12 21:24,Nicki Nicole,525195,3qW3oIG7ZYzs3Ru5988fP5,175065,53,0.549
París,2022-06-02 17:36,Morat,6229252,3ehHqgYRzmeUi345MfHS2N,182187,72,0.582
"Paulo Londra: Bzrp Music Sessions, Vol. 23",2022-06-02 23:06,Bizarrap,2737342,2uky0VCI2EZni0nArOPznM,258540,8,0.456
Perdí la Cuenta,2022-10-17 20:22,Benjamín Amadeo,212040,6yLX8OirlLMy7KmEm8xEdh,212040,29,0.68
Perdóname,2022-08-27 03:42,La Factoria,68057,3qGMeW3gOS3yeJF2nIUy1K,162586,47,0.685
Perfect,2022-11-04 16:51,Ed Sheeran,263400,0tgVpDi06FyKpA1z0VMD4v,263400,90,0.599
Photograph,2023-04-01 12:00,Ed Sheeran,258986,01CT2r5NLfYvtJHBFWfsXB,201432,39,0.641
Piel,2022-10-01 21:10,Zeballos,2346,4vrN0RUZKFUGRynUoqbv4u,209463,60,0.626
Piel de Cordero,2022-11-30 14:16,Quevedo,105784,04d4GpLedinwpfctvgOIhY,213647,71,0.827
Pininfarina - Remix,2022-11-27 20:34,Rei,260787,1mVLbFwad1wce7mAhFw2Ih,260787,66,0.748
Plan A,2022-06-02 17:46,Paulo Londra,1224331,2gpQi3hbcUAcEG8m2dlgfB,178202,71,0.583
Propuesta Indecente,2023-05-01 01:23,Romeo Santos,9915,5PycBIeabfvX3n9ILG7Vrv,235133,81,0.757
Protocolo,2022-06-06 16:43,WOS,1750786,1IJcROM3wuO4phCdjlEl5t,254208,52,0.549
Q.E.P.D,2023-04-04 04:21,Wolty,106427,0VaGR19qdoi0tf2EbTY3yN,211428,0,0.819
QUEREME,2022-06-17 15:01,LOUTA,20285088,0bhWW1Bve1Ng6kEm8WjiQA,194840,69,0.795
"Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-07 23:48,Bizarrap,11501617,2tTmW7RDtMQtBk7m2rYeSw,198937,93,0.621
Radar,2022-07-09 15:09,Paz Carrara,665795,2ZrnMV7mUPqU2qPgFyEa23,162288,31,0.736
Rain,2023-01-09 19:37,Trueno,365926,5HtNlKUcPHwAHP6Qg7rGh0,182831,0,0.546
ReggaetOLD,2022-08-27 03:47,Kevo DJ,331752,4fL2qFM2lw6xz9XmziEW7I,203207,48,0.71
René,2022-10-17 19:50,Residente,165111,6gm12xlADJwiBbHIKBXzGW,457591,67,0.486
"Residente: Bzrp Music Sessions, Vol. 49",2022-10-15 17:15,Bizarrap,1066619,2dG9k8jtnkjzJjUToz9i9i,519289,68,0.586
Respuesta Cero,2022-09-24 02:05,Quevedo,834061,07piZvs54drv7466oPLTt0,203951,65,0.625
Rewrite The Stars,2022-06-19 06:41,Zac Efron,219082,65fpYBrI8o2cfrwf2US4gq,217440,74,0.684
Rockstar,2022-09-19 18:02,Duki,128795,3RlsVPIIs5KFhLFhxZ4iDF,252040,72,0.616
SIN SEÑAL,2022-08-07 04:42,Quevedo,19307220,1Y62KpDaP5MEL43ZcI6IaG,185084,75,0.822
SOLO POR VOS,2022-07-01 22:13,Trueno,2170895,5Ejw3lC6Srj8VK4fHgTZAi,199825,61,0.697
STAY (with Justin Bieber),2022-11-04 17:50,The Kid LAROI,305970,5HCyWlXZPP0y6Gqq8TgA20,141805,87,0.591
Salimo de Noche,2022-06-04 20:15,Tiago PZK,1609117,6P096SaOzrgGxs8NWOfX7M,177857,68,0.669
"Shakira: Bzrp Music Sessions, Vol. 53",2023-01-12 00:28,Bizarrap,6913441,4nrPB8O7Y7wsOCJdgXkthe,214945,94,0.778
Shaky Shaky,2023-05-21 07:19,Daddy Yankee,56308,58IL315gMSTD37DOZPJ2hf,234320,0,0.899
Shape of You,2022-11-01 21:38,Ed Sheeran,9514,7qiZfU4dY1lWllzX7mPBI3,233712,89,0.825
She Don't Give a Fo,2022-10-13 16:45,Duki,838409,03a359wbiUsjN9h6yzXvmS,209531,79,0.854
Si Quieren Frontear,2022-06-02 15:30,Duki,3182542,6bQ5823aHmFVKLZW8E7rRo,200337,70,0.789
Sirenas,2022-11-05 15:20,Taburete,88203,4unOsvr9C2NqI9aJXrxpCy,184250,2,0.686
Sola - Neuen Live Sessions - En Vivo,2022-06-04 20:06,Tiago PZK,196600,4P1T0qUkqIVuByWA8i1SQV,196600,57,0.445
Soltera - Remix,2022-10-17 21:18,Lunay,4852,1c0hsvHLELX6y8qymnpLKL,266086,73,0.795
Soltero Hasta la Tumba,2022-11-06 03:51,El Reja,229901,6JtV50W4szsOD04QREQgXk,193813,55,0.804
Somebody To Love - Remastered 2011,2023-04-01 13:17,Queen,296480,3vCHmbyOgc6pgwLUWfU4pF,296480,0,0.461
Someone You Loved,2022-06-11 04:02,Lewis Capaldi,572408,5aQDkvNNDDfwD2XHtW9xjq,148219,58,0.631
Stay,2022-08-07 08:56,Rihanna,984849,0Ohi2pjBS1yak2BSgJRaIs,261906,58,0.583
Stitches,2022-08-28 09:20,Shawn Mendes,127095,2I8Z8AjStXpjXowdnrwePA,162000,50,0.612
Story of My Life,2022-08-07 08:37,One Direction,980204,4nVBt6MZDDP6tRVdQTgxJg,245493,85,0.6
Sweet Creature,2022-10-17 21:45,Harry Styles,1439,5kRPPEWFJIMox5qIkQkiz5,224866,77,0.427
TERRAZA,2022-06-08 13:11,WOS,4851345,6cLWKCBNawunqBHmyzdG7v,234949,0,0.7
TUS LÁGRIMAS,2022-06-02 23:28,Mora,2939329,30W8VKHrAZmHzObnwAoc1u,174482,76,0.683
Tal Vez,2022-10-17 21:05,Paulo Londra,42074,46lvmzK8wxAy66tjzXXSh0,264483,65,0.849
Te Mentiría Remix,2022-06-10 20:28,Luck Ra,783554,1txrFHh4XUU3Kp8HcD2TFW,172259,66,0.739
The Climb,2023-04-01 12:30,Miley Cyrus,234520,5x5JM1BSB6vollcIzDocqT,234520,77,0.336
The Greatest Show,2022-08-10 20:27,Hugh Jackman,302146,4ylWMuGbMXNDgDd8lErEle,302146,73,0.417
The Other Side,2022-06-11 03:54,Hugh Jackman,676394,2cKovq3l6OJjhVVDbVKOsr,214373,73,0.638
There's Nothing Holdin' Me Back,2022-08-09 16:21,Shawn Mendes,199440,7JJmb5XwzOO8jgpou264Ml,199440,88,0.866
This Is Me,2022-06-11 03:58,Keala Settle,469412,45aBsnKRWUzhwbcqOJLwfe,234706,75,0.284
This Town,2022-09-18 12:28,Niall Horan,2469220,0qvzXomUDJVaUboy2wMfiS,232852,81,0.677
"Tiago PZK: Bzrp Music Sessions, Vol. 48",2022-06-04 20:16,Bizarrap,2335998,2Gq636OOGgxCTqEuzCZhsa,160000,10,0.656
Todo se transforma,2022-07-01 18:40,Jorge Drexler,1302876,4YEU9N2XAE0DfUwxWI5ijA,217146,65,0.761
"Trueno: Bzrp Freestyle Sessions, Vol. 6",2022-07-03 16:21,Bizarrap,1542273,1DckcUSLpCfYsD1htu4JnF,199391,0,0.778
"Trueno: Bzrp Music Sessions, Vol. 16",2022-11-28 18:47,Bizarrap,476949,7ouulWlZPefmEIGYWNyiPH,158983,62,0.726
"Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",2022-08-27 03:54,Neo Pistea,24798,0OWcpVA83HI8Pb5DybDuoX,456939,68,0.882
Two Ghosts,2022-10-17 22:29,Harry Styles,11545,4B1rpPmQXwj78wk6aIGwwU,229813,73,0.386
Two of Us,2022-10-15 20:40,Louis Tomlinson,1927,3fd5jcZKAzoiivM4ZDwhyU,217855,51,0.614
ULTRA SOLO,2022-06-22 16:25,Polimá Westcoast,262801,0OTNHGKcqQbk51bOYe462Y,227220,78,0.802
Una Vela,2022-08-27 03:51,Intoxicados,288019,5TQlPe23rDgLkgbpEgWUnI,273280,55,0.821
Unfollow,2022-11-07 20:00,Duki,401649,7hQ7cmGKutObir5aHjkHPH,201120,41,0.536
